URL;A1;A2;A4;A5;A6;A7;A8;A9;A10;A11;A12
B0_1;56;8;iso-8859-1;Apache;None;257;US;CA;5/11/1999 0:00;11/08/2016 0:00;startedbyamouse.com
B0_3;63;12;UTF-8;Apache;None;None;None;None;None;None;shortsweetpoems.com
B0_4;54;9;UTF-8;Apache;None;193;US;WA;27/06/2015 0:00;18/04/2016 0:00;findoha.com
B0_7;63;10;UTF-8;Apache;no-cache, must-revalidate, max-age=0;18235;US;WA;10/10/2006 0:00;7/03/2017 0:00;lyricsanimal.com
B0_8;60;11;utf-8;nginx;no-cache;None;US;California;24/09/2006 0:00;26/08/2015 0:00;scribd.com
B0_9;35;7;iso-8859-1;Apache;None;330;None;None;10/11/2000 0:00;19/02/2016 0:00;beavertails.ca
B0_10;45;8;iso-8859-1;nginx;None;326;None;None;29/02/2008 0:00;21/02/2017 0:00;calabriaexchange.com
B0_12;59;10;utf-8;Microsoft-IIS/8.5;private;26958;None;None;16/06/1996 0:00;28/03/2016 0:00;athletic.net
B0_14;32;7;UTF-8;nginx;no-cache, must-revalidate, max-age=0;None;US;CA;3/03/2000 0:00;12/01/2017 0:00;wordpress.com
B0_16;49;10;ISO-8859-1;LiteSpeed;private, no-cache, no-store, must-revalidate, max-age=0;1148;US;IL;23/09/2009 0:00;8/09/2016 0:00;sikmixxradio.com
B0_19;39;8;utf-8;YouTubeFrontEnd;no-cache;None;US;CA;15/02/2005 0:00;14/01/2017 0:00;youtube.com
B0_20;47;10;UTF-8;cloudflare-nginx;no-cache, no-store, max-age=0, must-revalidate;None;None;None;22/08/2007 0:00;24/07/2014 0:00;asianmediawiki.com
B0_21;55;10;UTF-8;Apache/2.4.6 (Unix) mod_jk/1.2.37 PHP/5.5.1 OpenSSL/1.0.1g mod_fcgid/2.3.9;None;13898;US;DE;1/09/1995 4:00;1/03/2017 19:31;kidshealth.org
B0_22;20;7;utf-8;None;no-cache, no-store, must-revalidate, max-age=0;13716;GB;None;11/10/2002 0:00;6/10/2016 0:00;ac-cars.com
B0_23;23;6;None;None;None;None;US;TX;30/07/1996 0:00;4/07/2016 0:00;vrbo.com
B0_24;72;12;UTF-8;Server;no-cache;None;US;NV;1/11/1994 0:00;30/04/2014 0:00;amazon.com
B0_26;41;8;UTF-8;Apache;no-store, no-cache, must-revalidate, post-check=0, pre-check=0;None;PA;PANAMA;9/12/2008 0:00;30/11/2016 0:00;tennistweets.com
B0_27;68;14;UTF-8;Apache;max-age=7200, must-revalidate;12606;US;NY;2/01/2001 0:00;31/05/2016 0:00;slantmagazine.com
B0_28;56;11;us-ascii;Microsoft-HTTPAPI/2.0;None;324;AU;None;22/07/2008 0:00;22/07/2016 0:00;allstarpics.net
B0_29;46;10;utf-8;nginx/1.10.1 + Phusion Passenger 5.0.30;max-age=0, private, must-revalidate;None;US;Nevada;15/12/2004 0:00;25/02/2015 0:00;shopwiki.com
B0_30;41;7;iso-8859-1;Apache;None;281;US;PA;9/03/2010 0:00;18/01/2013 0:00;linkinparkradiotakeover.com
B0_31;66;12;iso-8859-1;Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips;None;251;None;None;29/08/2001 0:00;26/04/2015 0:00;high-schools.com
B0_32;47;11;UTF-8;Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips PHP/5.4.16;None;10804;None;None;18/10/2004 0:00;2/07/2015 0:00;fightline.com
B0_33;42;9;ISO-8859-1;Apache;no-store, no-cache, must-revalidate, post-check=0, pre-check=0;None;AU;Queensland;22/03/2006 0:00;22/03/2017 0:00;famouswhy.com
B0_34;38;8;ISO-8859-1;None;no-cache;6746;None;None;28/11/1999 0:00;9/09/2013 0:00;pipl.com
B0_35;118;28;UTF-8;nginx;None;None;US;CA;3/03/2000 0:00;12/01/2017 0:00;wordpress.com
B0_36;73;12;UTF-8;Apache-Coyote/1.1;"no-cache=""set-cookie""";17908;None;None;9/01/2007 0:00;30/04/2013 0:00;worthpoint.com
B0_37;38;7;us-ascii;Microsoft-HTTPAPI/2.0;None;324;AU;NSW;5/07/2008 0:00;30/08/2016 0:00;interceder.net
B0_39;47;9;UTF-8;Apache;None;14889;None;None;5/11/1997 0:00;14/04/2015 0:00;musicstack.com
B0_40;32;7;utf-8;Apache;must-revalidate, private, max-age=0;20212;US;CA;4/04/2006 0:00;3/03/2017 0:00;spokeo.com
B0_41;38;6;utf-8;Apache;no-cache, no-store, max-age=0, must-revalidate;9555;BE;None;7/04/2007 0:00;8/04/2017 0:00;artandpopularculture.com
B0_42;88;15;UTF-8;Pizza/pepperoni;max-age=0,no-cache, no-store, must-revalidate;13776;US;WA;16/11/1994 0:00;28/10/2015 0:00;classmates.com
B0_43;43;9;ISO-8859-1;cloudflare-nginx;private;None;CA;Quebec;10/04/2002 0:00;9/06/2016 0:00;progarchives.com
