URL;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15
B0_1;0;0;0;0;0;0;0;2;124;0;NA;NA;NA;0;0
B0_2;2;0;2;128;0;0;8;9;1023;590;NA;NA;NA;8;6
B0_3;48;0;1;3840;0;0;52;51;52729;4156;680743;7,64E+06;7,49E+06;52;4
B0_4;4;1;3;280;0;0;6;7;542;422;NA;NA;NA;6;2
B0_5;0;0;0;0;0;0;4;4;460;288;NA;NA;NA;4;4
B0_6;0;0;0;0;0;0;4;7;778;300;NA;NA;NA;4;4
B0_7;4;1;2;583;0;0;6;8;737;735;716694;8,37E+04;1,12E+06;6;2
B0_8;14;9;2;2531;0;0;18;18;8177;2819;718203;2,51E+06;2,51E+06;18;4
B0_9;16;9;8;1275;0;0;18;23;2306;1423;727022;2,48E+06;3,16E+06;18;2
B0_10;7;0;2;1088;0;0;11;10;7650;1440;727538;1,51E+06;1,37E+06;11;4
B0_11;3;0;2;198;0;0;9;9;834;614;NA;NA;NA;9;6
B0_12;15;10;1;2421;0;0;21;17;7924;2861;729069;2,88E+05;2,33E+06;21;6
B0_13;5;3;2;354;0;0;9;13;1408;690;NA;NA;NA;9;4
B0_14;14;10;2;2000;0;0;20;20;9588;2498;NA;NA;NA;20;6
B0_15;10;6;3;540;0;0;14;12;1016;848;NA;NA;NA;14;4
B0_16;9;0;2;851;0;0;11;9;2135;1003;779055;1,41E+06;1,16E+06;11;2
B0_17;4;0;3;268;0;0;6;6;486;428;NA;NA;NA;6;2
B0_18;1;0;1;54;0;0;5;6;692;374;NA;NA;NA;5;4
B0_19;16;7;3;2241;0;0;22;20;6701;2683;783006;2,81E+06;2,55E+06;22;6
B0_20;31;3;5;3590;0;0;35;39;35687;3886;791220;4,42E+06;4,93E+06;35;4
B0_21;31;3;5;3590;0;0;35;40;35749;3886;791220;4,42E+06;5,06E+05;35;4
B0_22;16;6;8;1492;0;0;20;20;2334;1784;803869;2,49E+06;2,49E+06;20;4
B0_23;19;7;6;2404;0;0;23;20;6179;2684;NA;NA;NA;23;4
B0_24;27;21;8;3862;0;0;33;33;11108;4290;NA;NA;NA;33;6
B0_25;17;8;8;1042;0;0;19;13;4332;1180;NA;NA;NA;19;2
B0_26;8;0;1;1078;0;0;12;12;1532;1390;1056098;1,14E+06;1,14E+06;12;4
B0_27;23;9;8;2317;0;0;27;28;3635;2633;1068615;2,53E+06;2,62E+06;27;4
B0_28;20;2;7;1876;0;0;26;17;2205;2354;1134408;2,29E+06;1,50E+06;26;6
B0_29;24;2;10;3146;0;0;28;30;4258;3442;1146557;2,44E+06;2,62E+06;28;4
B0_30;18;0;3;1868;0;0;22;23;18348;2202;1148186;1,92E+06;2,00E+05;22;4
B0_31;11;1;7;1012;0;0;15;15;1806;1316;1155247;1,30E+06;1,30E+06;15;4
B0_32;4;2;4;296;0;0;6;9;778;442;NA;NA;NA;6;2
B0_33;15;6;10;950;0;0;17;18;1327;1110;NA;NA;NA;17;2
B0_34;35;8;14;3072;0;0;41;31;9718;3506;1282209;3,20E+06;2,42E+06;41;6
B0_35;10;2;6;970;0;0;14;11;1484;1298;NA;NA;NA;14;4
B0_36;17;12;3;2396;0;0;23;25;26621;2856;1288779;1,78E+06;1,94E+06;23;6
B0_37;13;7;7;1068;0;0;15;13;1006;1216;1439915;1,04E+06;9,03E+04;15;2
B0_38;4;1;4;276;0;0;8;11;1110;592;NA;NA;NA;8;4
B0_39;9;1;2;1180;0;0;13;15;1834;1484;1456862;8,92E+05;1,03E+06;13;4
B0_40;43;26;14;4214;0;0;49;28;9246;4650;1608322;3,05E+04;1,74E+06;49;6
B0_41;23;5;9;2823;0;0;27;21;15940;3153;1609463;1,68E+06;1,30E+05;27;4
B0_42;20;2;8;2133;0;0;24;26;17337;2437;NA;NA;NA;24;4
B0_43;20;4;7;1511;0;0;22;21;14430;1663;NA;NA;NA;22;2
B0_44;10;2;9;612;0;0;12;14;918;772;NA;NA;NA;12;2
B0_45;24;19;2;3538;0;0;30;33;22895;3994;1699786;1,76E+06;1,94E+06;30;6
B0_46;8;4;3;822;0;0;12;13;1527;1178;NA;NA;NA;12;4
B0_47;14;8;3;2186;0;0;18;20;6913;2486;1718289;1,05E+06;1,16E+05;18;4
B0_48;20;11;6;3025;0;0;26;25;9200;3479;1730284;1,50E+06;1,44E+06;26;6
B0_49;71;1;6;5647;0;0;79;79;120385;6295;1731195;4,56E+06;4,56E+06;79;8
B0_50;12;6;9;1063;0;0;14;16;1287;1213;1736864;8,06E+04;9,21E+05;14;2
B0_51;23;6;9;1942;0;0;27;25;15275;2222;NA;NA;NA;27;4
B0_52;44;5;9;3414;0;0;48;46;47213;3722;1871077;2,57E+06;2,46E+06;48;4
B0_53;20;0;4;1675;0;0;22;6;456;1823;2022278;1,09E+06;2,97E+05;22;2
B0_54;20;0;4;1675;0;0;22;6;456;1823;2022278;1,09E+06;2,97E+05;22;2
B0_55;21;0;3;4103;0;0;25;30;16662;4405;2035603;1,23E+06;1,47E+06;25;4
B0_56;35;11;3;6351;0;0;43;46;22390;6989;2185970;1,97E+06;2,10E+06;43;8
B0_57;17;3;4;2162;0;0;23;24;14374;2634;2336356;9,84E+05;1,03E+05;23;6
B0_58;23;15;10;2708;0;0;27;30;6195;3036;2353698;1,15E+06;1,27E+06;27;4
B0_59;15;6;7;1283;0;0;17;15;2201;1425;2391727;7,11E+05;6,27E+05;17;2
B0_60;12;0;4;1331;0;0;16;13;4860;1631;2392174;6,69E+05;5,43E+05;16;4
B0_61;69;60;5;8450;0;0;81;80;68036;9350;2392537;3,39E+06;3,34E+06;81;12
B0_62;19;3;7;2402;0;0;25;22;4491;2900;NA;NA;NA;25;6
B0_63;17;3;5;962;0;0;19;9;744;1104;NA;NA;NA;19;2
