URL;A1;A2;A4;A5;A6;A7;A8;A9;A10;A11;A12
M0_9;43;10;ISO-8859-1;DOSarrest;no-cache;None;us;Washington;23/06/2003 0:00;2/01/2017 0:00;realinnovation.com
M0_15;26;8;utf-8;nginx;None;None;None;None;9/03/2000 17:50;None;antalya.ru
M0_16;37;9;ISO-8859-1;nginx;None;162;CN;beijingshi;9/02/2009 0:00;27/04/2017 0:00;img001.com
M0_21;28;9;UTF-8;Apache/2.2.15 (CentOS);None;None;RU;MOSCOW;24/10/2007 0:00;22/10/2016 0:00;traff1.com
M0_39;40;10;utf-8;Apache;public, max-age=300;3016;None;None;None;None;alice.it
M0_40;42;10;utf-8;nginx/1.10.1;no-cache, pre-check=0, post-check=0;None;None;None;7/04/2002 20:00;None;propan.ru
M0_41;54;11;iso-8859-1;Apache;None;228;US;Arizona;16/02/2005 0:00;24/02/2016 0:00;webcashmaker.com
M0_42;38;9;ISO-8859-1;Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch;None;2516;US;Utah;24/05/2000 0:00;25/05/2016 0:00;stormpages.com
M0_43;38;9;ISO-8859-1;Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch;None;2516;US;Utah;24/05/2000 0:00;25/05/2016 0:00;stormpages.com
M0_44;39;9;ISO-8859-1;Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch;None;2516;US;Utah;24/05/2000 0:00;25/05/2016 0:00;stormpages.com
M0_45;40;9;ISO-8859-1;Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch;None;2516;US;Utah;24/05/2000 0:00;25/05/2016 0:00;stormpages.com
M0_46;48;10;ISO-8859-1;Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch;None;2516;US;Utah;24/05/2000 0:00;25/05/2016 0:00;stormpages.com
M0_47;42;10;ISO-8859-1;Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch;None;2516;US;Utah;24/05/2000 0:00;25/05/2016 0:00;stormpages.com
M0_48;42;10;ISO-8859-1;Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch;None;2516;US;Utah;24/05/2000 0:00;25/05/2016 0:00;stormpages.com
M0_49;44;10;ISO-8859-1;Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch;None;2516;US;Utah;24/05/2000 0:00;25/05/2016 0:00;stormpages.com
M0_50;42;10;ISO-8859-1;Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch;None;2516;US;Utah;24/05/2000 0:00;25/05/2016 0:00;stormpages.com
M0_51;48;11;ISO-8859-1;Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch;None;2516;US;Utah;24/05/2000 0:00;25/05/2016 0:00;stormpages.com
M0_52;41;10;ISO-8859-1;Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch;None;2516;US;Utah;24/05/2000 0:00;25/05/2016 0:00;stormpages.com
M0_53;42;10;ISO-8859-1;Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch;None;2516;US;Utah;24/05/2000 0:00;25/05/2016 0:00;stormpages.com
M0_54;43;10;ISO-8859-1;Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch;None;2516;US;Utah;24/05/2000 0:00;25/05/2016 0:00;stormpages.com
M0_55;49;13;utf-8;nxfps;no-store, no-cache;None;KR;None;3/01/2002 0:00;12/01/2015 0:00;uriyuri.com
M0_56;61;12;ISO-8859-1;Apache;None;526;DE;None;10/09/2003 0:00;11/09/2016 0:00;wigglewoo.com
M0_57;41;11;UTF-8;Proxy Pandeiro UOL;no-store, no-cache, must-revalidate, post-check=0, pre-check=0;27103;BR;None;None;None;xpg.com.br
M0_58;52;14;None;Apache/2.4.6 (CentOS);public;None;CN;Bei Jing;1/03/2005 0:00;7/09/2016 0:00;heima8.com
M0_59;33;9;UTF-8;nginx;no-store, no-cache, must-revalidate, post-check=0, pre-check=0;None;None;None;9/02/2000 14:17;None;front.ru
M0_60;37;9;iso-8859-1;Apache;None;188;None;None;None;None;obyz.de
M0_61;85;13;UTF-8;Apache/2.2.22 (Debian);no-store, no-cache, must-revalidate, post-check=0, pre-check=0;8364;US;Washington;14/03/2004 0:00;15/03/2017 0:00;callingcardsinstantly.com
M0_62;75;13;UTF-8;Apache;None;193;US;PA;20/08/2014 0:00;20/10/2016 0:00;dawnframing.com
M0_63;84;15;UTF-8;Apache/2.2.22 (Debian);no-store, no-cache, must-revalidate, post-check=0, pre-check=0;11323;US;Washington;8/03/2003 0:00;9/03/2017 0:00;free-crochet-pattern.com
