URL;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15
M0_2;0;0;0;0;0;0;8;11;1434;648;NA;NA;NA;8;8
M0_3;0;0;0;0;0;0;8;11;1406;620;NA;NA;NA;8;8
M0_4;0;0;0;0;0;0;8;10;1316;592;NA;NA;NA;8;8
M0_5;5;1;2;636;0;0;11;13;2095;1092;4294930697;2,56E+02;3,03E+02;11;6
M0_6;16;12;3;2409;0;0;20;20;13375;2717;4294930697;4,66E+02;4,66E+02;20;4
M0_7;2;1;2;132;0;0;10;13;1526;740;NA;NA;NA;10;8
M0_8;3;0;1;451;0;0;9;9;1040;907;NA;NA;NA;9;6
M0_9;8;0;1;1045;0;0;10;9;2806;1209;NA;NA;NA;10;2
M0_10;1;0;1;54;0;0;9;12;1478;686;NA;NA;NA;9;8
M0_11;0;0;0;0;0;0;8;11;1394;608;NA;NA;NA;8;8
M0_12;0;0;0;0;0;0;8;11;1438;652;NA;NA;NA;8;8
M0_13;0;0;0;0;0;0;8;10;1388;664;NA;NA;NA;8;8
M0_14;1;1;1;90;0;0;7;8;978;554;NA;NA;NA;7;6
M0_15;9;1;2;878;0;0;11;12;2242;1018;4294935825;2,56E+02;2,79E+02;11;2
M0_16;1;0;1;66;0;0;3;4;404;206;NA;NA;NA;3;2
M0_17;8;6;3;4860;0;0;16;25;2932;5500;NA;NA;NA;16;8
M0_18;5;5;1;5054;0;0;13;23;2692;5690;NA;NA;NA;13;8
M0_19;5;5;1;5054;0;0;13;23;2692;5690;NA;NA;NA;13;8
M0_20;3;0;1;460;0;0;9;9;1026;916;4294940333;2,10E+02;2,10E+02;9;6
M0_21;5;0;1;592;0;0;7;9;1062;732;4294940333;1,63E+02;2,10E+02;7;2
M0_22;0;0;0;0;0;0;8;12;1444;592;NA;NA;NA;8;8
M0_23;0;0;0;0;0;0;8;11;1382;596;NA;NA;NA;8;8
M0_24;0;0;0;0;0;0;8;11;1390;604;NA;NA;NA;8;8
M0_25;0;0;0;0;0;0;8;10;1316;592;NA;NA;NA;8;8
M0_26;0;0;0;0;0;0;8;10;1308;584;NA;NA;NA;8;8
M0_27;0;0;0;0;0;0;8;10;1320;596;NA;NA;NA;8;8
M0_28;0;0;0;0;0;0;8;10;1324;600;NA;NA;NA;8;8
M0_29;0;0;0;0;0;0;8;10;1304;580;NA;NA;NA;8;8
M0_30;0;0;0;0;0;0;8;10;1284;560;NA;NA;NA;8;8
M0_31;0;0;0;0;0;0;8;10;1288;564;NA;NA;NA;8;8
M0_32;1;1;1;90;0;0;9;13;1584;658;NA;NA;NA;9;8
M0_33;1;1;1;90;0;0;9;13;1608;682;NA;NA;NA;9;8
M0_34;0;0;0;0;0;0;8;11;1406;620;NA;NA;NA;8;8
M0_35;0;0;0;0;0;0;8;11;1438;652;NA;NA;NA;8;8
