URL;URL_LENGTH;NUMBER_SPECIAL_CHARACTERS;CHARSET;SERVER;CACHE_CONTROL;CONTENT_LENGTH;WHOIS_COUNTRY;WHOIS_STATEPROV;WHOIS_REGDATE;UPDATE_DATE;WHITIN_DOMAIN;TCP_CONVERSATION_EXCHANGE;DIST_REMOTE_TCP_PORT;REMOTE_IPS;APP_BYTES;UDP_PACKETS;TCP_URG_PACKETS;SOURCE_APP_PACKETS;REMOTE_APP_PACKETS;SOURCE_APP_BYTES;REMOTE_APP_BYTES;DURATION;AVG_LOCAL_PKT_RATE;AVG_REMOTE_PKT_RATE;APP_PACKETS;DNS_QUERY_TIMES;TIPO
M0_100;51;14;UTF-8;APACHE;NO-CACHE, MUST-REVALIDATE, MAX-AGE=0;NA;CZ;PRAHA;7/10/2006 0:00;7/03/2017 0:00;PRIDE-U-BIKE.COM;46;0;1;3321;0;0;48;49;66184;3473;485425;NA;0.000100942473091;48;2;MALIGNA
M0_101;37;10;UTF-8;APACHE;NO-CACHE, MUST-REVALIDATE, MAX-AGE=0;NA;CZ;PRAHA;7/10/2006 0:00;7/03/2017 0:00;PRIDE-U-BIKE.COM;49;0;1;3505;0;0;51;53;66214;3657;485921;0.000104955332245;0.000109071227628;51;2;MALIGNA
M0_102;55;12;UTF-8;APACHE;NO-CACHE, MUST-REVALIDATE, MAX-AGE=0;NA;CZ;PRAHA;7/10/2006 0:00;7/03/2017 0:00;PRIDE-U-BIKE.COM;52;0;1;3721;0;0;54;57;66445;3873;486435;0.000111011748743;0.000117179068118;54;2;MALIGNA
M0_103;58;12;UTF-8;APACHE;NO-CACHE, MUST-REVALIDATE, MAX-AGE=0;NA;CZ;PRAHA;7/10/2006 0:00;7/03/2017 0:00;PRIDE-U-BIKE.COM;50;0;1;3592;0;0;52;53;66100;3744;486950;0.000106787144471;0.000108840743403;52;2;MALIGNA
M0_104;52;14;UTF-8;APACHE;NO-CACHE, MUST-REVALIDATE, MAX-AGE=0;NA;CZ;PRAHA;7/10/2006 0:00;7/03/2017 0:00;PRIDE-U-BIKE.COM;41;0;1;2992;0;0;43;44;65646;3144;487525;NA;NA;43;2;MALIGNA
M0_105;50;13;UTF-8;APACHE;NO-CACHE, MUST-REVALIDATE, MAX-AGE=0;NA;CZ;PRAHA;7/10/2006 0:00;7/03/2017 0:00;PRIDE-U-BIKE.COM;47;0;1;3386;0;0;51;53;66317;3696;488012;0.000104505626911;0.00010860388679;51;4;MALIGNA
M0_106;29;7;ISO-8859-1;APACHE;NA;7314;US;MD;21/09/2009 0:00;9/08/2016 0:00;QUOTIDIENNOKOUE.COM;34;0;2;2934;0;0;40;40;34995;3416;488565;NA;NA;40;6;MALIGNA
M0_107;35;9;ISO-8859-1;APACHE;NA;7314;NA;NA;21/09/2009 0:00;9/08/2016 0:00;QUOTIDIENNOKOUE.COM;39;0;3;3240;0;0;45;45;35301;3722;489087;NA;NA;45;6;MALIGNA
M0_108;35;9;ISO-8859-1;APACHE;NA;7314;NA;NA;21/09/2009 0:00;9/08/2016 0:00;QUOTIDIENNOKOUE.COM;39;0;2;3240;0;0;45;45;35301;3722;489598;NA;NA;45;6;MALIGNA
M0_109;16;7;ISO-8859-1;NGINX;NA;263;NA;NA;10/10/2015 18:21;NA;WP9.RU;7;0;2;700;0;0;9;10;1153;832;490254;NA;NA;9;2;MALIGNA
