URL;URL_LENGTH;SERVER;DURATION;TIPO
M0_109;16;NGINX;490254;MALIGNA
B0_2314;16;APACHE;NA;BENIGNA
B0_911;16;MICROSOFT-HTTPAPI;NA;BENIGNA
B0_113;17;NGINX;NA;BENIGNA
B0_403;17;NONE;9895269;BENIGNA
B0_2064;18;NGINX;NA;BENIGNA
B0_462;18;APACHE;NA;BENIGNA
B0_1128;19;MICROSOFT-HTTPAPI;NA;BENIGNA
M2_17;20;NGINX;NA;MALIGNA
M3_75;20;NGINX;NA;MALIGNA
B0_1013;20;APACHE;NA;BENIGNA
B0_1102;20;MICROSOFT-HTTPAPI;NA;BENIGNA
B0_22;20;NONE;803869;BENIGNA
B0_482;20;NGINX;12284491;BENIGNA
B0_869;20;APACHE;NA;BENIGNA
M0_71;21;APACHE;433152;MALIGNA
M0_97;21;NGINX;NA;MALIGNA
B0_2303;21;MICROSOFT-HTTPAPI;NA;BENIGNA
B0_584;21;NGINX;15049334;BENIGNA
M0_69;22;MICROSOFT-HTTPAPI;432210;MALIGNA
B0_161;22;OPENRESTY;3998153;BENIGNA
B0_2122;22;NGINX;NA;BENIGNA
B0_2176;22;APACHE;NA;BENIGNA
B0_569;22;APACHE;14770983;BENIGNA
B0_601;22;NGINX;15278873;BENIGNA
B0_884;22;APACHE;NA;BENIGNA
B0_905;22;NGINX;NA;BENIGNA
B0_916;22;NGINX;NA;BENIGNA
B0_102;23;APACHE;3094172;BENIGNA
B0_1130;23;APACHE;NA;BENIGNA
B0_1185;23;MICROSOFT-HTTPAPI;NA;BENIGNA
B0_1369;23;NGINX;NA;BENIGNA
B0_1412;23;ORACLE-IPLANET-WEB-SERVER;NA;BENIGNA
B0_2217;23;NONE;NA;BENIGNA
B0_2240;23;NGINX;NA;BENIGNA
B0_23;23;NONE;NA;BENIGNA
B0_241;23;NONE;NA;BENIGNA
B0_285;23;NONE;7248428;BENIGNA
B0_465;23;CLOUDFLARE-NGINX;12084293;BENIGNA
B0_599;23;NGINX;15273200;BENIGNA
B0_614;23;APACHE;NA;BENIGNA
B0_622;23;APACHE;16033702;BENIGNA
B0_790;23;MICROSOFT-HTTPAPI;NA;BENIGNA
M0_175;24;NGINX;NA;MALIGNA
M0_89;24;APACHE;469382;MALIGNA
B0_108;24;OPENRESTY;3119399;BENIGNA
B0_126;24;NONE;3211991;BENIGNA
B0_171;24;NGINX;4274945;BENIGNA
B0_2301;24;HEPTU WEB SERVER;NA;BENIGNA
B0_2313;24;PEPYAKA;NA;BENIGNA
B0_2315;24;MICROSOFT-HTTPAPI;NA;BENIGNA
B0_282;24;APACHE;7244591;BENIGNA
B0_321;24;NGINX;NA;BENIGNA
B0_326;24;APACHE;NA;BENIGNA
B0_483;24;NGINX;12298831;BENIGNA
B0_543;24;APACHE;NA;BENIGNA
B0_656;24;APACHE;NA;BENIGNA
B0_1163;25;APACHE;NA;BENIGNA
B0_1308;25;NGINX;NA;BENIGNA
B0_1347;25;NGINX;NA;BENIGNA
B0_2127;25;MICROSOFT-IIS;NA;BENIGNA
B0_2224;25;LITESPEED;NA;BENIGNA
