Netflows,First_Protocol,Second_Protocol,Third_Protocol,p1_d,p2_d,p3_d,duration,max_d,min_d,#packets,Avg_bps,Avg_pps,Avg_bpp,#Bytes,#sp,#dp,first_sp,second_sp,third_sp,first_dp,second_dp,third_dp,p1_ip,p2_ip,p3_ip,p1_ib,p2_ib,p3_ib,Type,Cryptocurrency
82,TCP,UDP,,2.9595,103.6315,135.19425,6709.539000000001,184.327,0.0,407,1266,2,72,29697,46,39,443,80.0,62387.0,443,5355.0,80.0,3.0,5.0,5.75,84.0,160.0,248.0,not_mine,Does not have
117,TCP,UDP,,57.953,64.0,90.113,7092.561,148.642,0.0,462,1301,3,53,24573,57,44,443,123.0,80.0,443,5355.0,123.0,2.0,3.0,4.0,84.0,96.0,160.0,not_mine,Does not have
94,TCP,UDP,,13.0955,135.167,168.51399999999995,10109.527999999998,298.685,0.0,9097,130835,30,537,4889118,39,37,443,80.0,46928.0,443,80.0,1900.0,4.0,4.0,11.75,128.0,184.0,2009.0,not_mine,Does not have
2,TCP,,,542.9590000000001,542.9590000000001,542.9590000000001,1085.9180000000001,542.9590000000001,542.9590000000001,34,63,0,126,4305,2,2,51085,14444.0,,51085,14444.0,,17.0,17.0,17.0,1416.25,2152.5,2888.75,mine,Monero
23,TCP,UDP,,74.752,104.204,135.168,2108.325,149.486,0.225,124,792,0,130,16222,15,13,80,443.0,32930.0,80,443.0,1900.0,3.5,4.0,6.0,96.0,128.0,251.5,not_mine,Does not have
214,TCP,UDP,,42.64,137.17399999999998,194.78775,27295.232999999997,290.01099999999997,0.0,3440,26226,11,284,977767,108,105,443,123.0,80.0,443,123.0,80.0,4.0,9.0,18.0,128.0,1441.0,4444.25,not_mine,Does not have
101,TCP,UDP,,0.0,0.0,0.1,358.3769999999999,46.888999999999996,0.0,5176,429046,60,886,4588331,48,47,443,80.0,53.0,443,80.0,53.0,1.0,1.0,3.0,32.0,32.0,120.0,not_mine,Does not have
45,TCP,UDP,,58.597,59.713,90.12899999999999,3173.684,149.77,0.0,192,775,1,77,14914,25,23,443,80.0,123.0,443,80.0,123.0,3.0,4.0,5.0,60.0,128.0,216.0,not_mine,Does not have
2,TCP,,,438.111,443.402,448.69300000000004,886.804,453.98400000000004,432.82,80,346,0,245,19655,2,2,3333,53058.0,,3333,53058.0,,38.5,40.0,41.5,5608.75,9827.5,14046.25,mine,Litecoin
4,TCP,,,2.94,139.08200000000002,274.32525000000004,552.7330000000002,274.569,0.0,330,1291,1,136,44973,2,2,56731,4444.0,,56731,4444.0,,1.75,78.5,159.25,215.5,3733.0,14760.75,mine,Etherium
