Name,Netflows,First_Protocol,Second_Protocol,Third_Protocol,p1_d,p2_d,p3_d,duration,max_d,min_d,#packets,Avg_bps,Avg_pps,Avg_bpp,#Bytes,#sp,#dp,first_sp,second_sp,third_sp,first_dp,second_dp,third_dp,p1_ip,p2_ip,p3_ip,p1_ib,p2_ib,p3_ib,Type
0-csves/0.csv,2,TCP,,,0.2915,0.309,0.3265,0.618,0.344,0.274,10,32720,29,140,1407,2,2,3337,54082,,3337,54082,,5.0,5.0,5.0,476.25,703.5,930.75,mine
1-csves/0.csv,2,TCP,,,293.5075,293.50800000000004,293.5085,587.0160000000001,293.509,293.507,22,269,0,449,9899,2,2,3337,54082,,3337,54082,,11.0,11.0,11.0,2584.75,4949.5,7314.25,mine
1-csves/1.csv,2,TCP,,,243.19225,243.1935,243.19475,486.387,243.196,243.191,30,359,0,364,10923,2,2,3337,54082,,3337,54082,,15.0,15.0,15.0,2880.75,5461.5,8042.25,mine
1-csves/2.csv,2,TCP,,,264.131,264.132,264.13300000000004,528.264,264.134,264.13,43,398,0,305,13147,2,2,3337,54082,,3337,54082,,21.25,21.5,21.75,3610.75,6573.5,9536.25,mine
1-csves/3.csv,2,TCP,,,243.56324999999998,243.56349999999998,243.56375,487.12699999999995,243.564,243.563,18,259,0,438,7888,2,2,3337,54082,,3337,54082,,9.0,9.0,9.0,2062.0,3944.0,5826.0,mine
1-csves/4.csv,2,TCP,,,272.99025,272.9905,272.99075,545.981,272.991,272.99,32,439,0,468,14991,2,2,3337,54082,,3337,54082,,16.0,16.0,16.0,3907.75,7495.5,11083.25,mine
1-csves/5.csv,2,TCP,,,503.242,503.242,503.242,1006.484,503.242,503.242,38,303,0,502,19095,2,2,3337,54082,,3337,54082,,19.0,19.0,19.0,4963.75,9547.5,14131.25,mine
1-csves/7.csv,2,TCP,,,283.14625,283.1465,283.14675,566.293,283.147,283.146,20,210,0,373,7465,2,2,3337,54082,,3337,54082,,10.0,10.0,10.0,1966.25,3732.5,5498.75,mine
1-csves/8.csv,2,TCP,,,257.16650000000004,257.16700000000003,257.1675,514.3340000000001,257.168,257.166,19,223,0,378,7189,2,2,3337,54082,,3337,54082,,9.25,9.5,9.75,1949.25,3594.5,5239.75,mine
2-csves/2.csv,2,TCP,,,542.545,542.672,542.7990000000001,1085.344,542.926,542.418,81,532,0,446,36140,2,2,3337,54082,,3337,54082,,40.25,40.5,40.75,9445.0,18070.0,26695.0,mine
2-csves/3.csv,2,TCP,,,524.39825,524.3985,524.3987500000001,1048.797,524.399,524.398,42,208,0,325,13673,2,2,3337,54082,,3337,54082,,20.5,21.0,21.5,3742.25,6836.5,9930.75,mine
2-csves/5.csv,2,TCP,,,0.193,0.386,0.579,0.772,0.772,0.0,3,16393,3,527,1582,2,2,3337,54082,,3337,54082,,1.25,1.5,1.75,405.5,791.0,1176.5,mine
2-csves/6.csv,2,TCP,,,284.0365,284.03700000000003,284.0375,568.0740000000001,284.038,284.036,24,214,0,317,7616,2,2,3337,54082,,3337,54082,,11.5,12.0,12.5,2139.0,3808.0,5477.0,mine
