Name,Netflows,First_Protocol,Second_Protocol,Third_Protocol,p1_d,p2_d,p3_d,duration,max_d,min_d,#packets,Avg_bps,Avg_pps,Avg_bpp,#Bytes,#sp,#dp,first_sp,second_sp,third_sp,first_dp,second_dp,third_dp,p1_ip,p2_ip,p3_ip,p1_ib,p2_ib,p3_ib,Type
0-csves/0.csv,2,TCP,,,245.091,245.091,245.091,490.182,245.091,245.091,39,468,0,368,14359,2,2,3332,51453,,3332,51453,,17.75,19.5,21.25,3826.75,7179.5,10532.25,mine
0-csves/1.csv,6,TCP,,,122.82399999999998,240.59550000000002,242.3,1134.032,242.868,83.538,99,499,0,357,35402,4,4,3332,51469,51459,3332,51469,51467,12.25,16.0,21.25,476.0,3407.0,11993.0,mine
0-csves/2.csv,2,TCP,,,242.47425,242.47449999999998,242.47474999999997,484.94899999999996,242.475,242.474,39,473,0,367,14350,2,2,3332,51455,,3332,51455,,17.25,19.5,21.75,3814.5,7175.0,10535.5,mine
0-csves/3.csv,4,TCP,,,241.01,241.9955,242.99849999999998,968.0519999999999,243.051,241.01,56,418,0,452,25329,3,3,3332,51435,51431,3332,51435,51431,11.75,14.0,16.25,410.5,5978.0,11899.75,mine
0-csves/4.csv,2,TCP,,,0.12325,0.1235,0.12375,0.247,0.124,0.123,10,103895,65,198,1987,2,2,3332,51431,,3332,51431,,5.0,5.0,5.0,621.25,993.5,1365.75,mine
0-csves/5.csv,2,TCP,,,243.86025,243.8605,243.86075,487.721,243.861,243.86,41,485,0,360,14786,2,2,3332,51448,,3332,51448,,18.75,20.5,22.25,3943.5,7393.0,10842.5,mine
1-csves/0.csv,2,TCP,,,244.563,244.563,244.563,489.126,244.563,244.563,40,483,0,369,14770,2,2,51511,3332,,51511,3332,,18.0,20.0,22.0,3930.5,7385.0,10839.5,mine
1-csves/1.csv,2,TCP,,,242.336,242.336,242.336,484.672,242.336,242.336,39,473,0,368,14354,2,2,3332,51474,,3332,51474,,17.75,19.5,21.25,3826.5,7177.0,10527.5,mine
1-csves/2.csv,4,TCP,,,162.29975,203.724,245.141,814.867,245.141,162.278,69,502,0,371,25608,3,3,3332,51523,51516,3332,51523,51516,15.0,17.0,19.25,456.0,5667.0,11613.0,mine
1-csves/3.csv,4,TCP,,,241.979,243.8155,245.652,975.262,245.652,241.979,85,539,0,387,32909,3,3,3332,51478,51509,3332,51478,51509,18.5,21.5,24.25,526.0,7463.0,15164.25,mine
