Name,Netflows,First_Protocol,Second_Protocol,Third_Protocol,p1_d,p2_d,p3_d,duration,max_d,min_d,#packets,Avg_bps,Avg_pps,Avg_bpp,#Bytes,#sp,#dp,first_sp,second_sp,third_sp,first_dp,second_dp,third_dp,p1_ip,p2_ip,p3_ip,p1_ib,p2_ib,p3_ib,Type
0-csves/0.csv,42,TCP,UDP,,138.67849999999999,193.6895,194.93300000000002,6778.6680000000015,240.226,0.0,412,1565,1,140,58086,25,22,443,80,54888,443,80,1900,4.25,7.0,8.0,178.5,256.0,312.0,not_mine
0-csves/1.csv,46,UDP,TCP,ICMP6,0.0,0.109,45.097750000000005,784.0260000000001,93.159,0.0,5244,225216,31,879,4613735,27,26,53,80,0,53,80,34048,1.0,2.0,7.5,47.0,90.5,741.75,not_mine
1-csves/0.csv,187,TCP,UDP,,0.10550000000000001,1.984,120.2085,8454.095000000001,210.496,0.0,7444,153041,24,767,5712079,72,72,443,80,123,443,80,123,3.0,9.0,15.0,80.0,696.0,1540.0,not_mine
1-csves/1.csv,125,TCP,UDP,,0.0,1.28,4.414,395.649,15.013,0.0,1125,11649,8,165,186320,67,66,443,53,52511,443,53,1900,1.0,10.0,14.0,56.0,827.0,1560.0,not_mine
2-csves/0.csv,34,TCP,UDP,,0.0,0.221,37.53275,469.353,52.661,0.0,181,1529,1,104,18927,20,22,443,53,37964,443,53,36262,1.0,4.0,7.0,65.0,160.0,255.0,not_mine
2-csves/1.csv,33,TCP,UDP,,135.561,167.496,194.089,4777.438999999999,246.895,0.0,5197,127995,18,881,4578592,20,19,443,80,43666,443,1900,80,7.0,7.0,23.0,140.0,312.0,6281.0,not_mine
3-csves/0.csv,114,TCP,UDP,,0.0,0.0195,2.86075,755.4,47.81,0.0,5245,657044,93,879,4612698,60,61,443,80,53,443,53,80,1.0,2.0,6.75,32.0,47.0,704.0,not_mine
3-csves/1.csv,69,TCP,UDP,,89.353,137.64,167.936,8921.81,213.592,3.003,428,837,1,71,30487,39,35,443,80,55936,443,80,1900,5.0,6.0,6.0,120.0,151.0,197.0,not_mine
4-csves/0.csv,726,TCP,UDP,ICMP6,0.0,11.582,47.26675,24921.140999999996,181.474,0.0,12635,218270,42,643,8126761,188,185,443,80,123,443,80,123,1.0,4.0,10.0,32.0,96.0,1003.5,not_mine
4-csves/1.csv,68,UDP,TCP,,0.0,0.0,0.0,0.328,0.328,0.0,69,1442,1,106,7326,33,37,53,60705,443,53,443,46279,1.0,1.0,1.0,33.0,43.0,117.5,not_mine
