Name,Netflows,First_Protocol,Second_Protocol,Third_Protocol,p1_d,p2_d,p3_d,duration,max_d,min_d,#packets,Avg_bps,Avg_pps,Avg_bpp,#Bytes,#sp,#dp,first_sp,second_sp,third_sp,first_dp,second_dp,third_dp,p1_ip,p2_ip,p3_ip,p1_ib,p2_ib,p3_ib,Type
0-csves/0.csv,2,TCP,,,269.968,269.968,269.968,539.936,269.968,269.968,12,50,0,141,1698,2,2,51085,14444,,51085,14444,,6.0,6.0,6.0,484.5,849.0,1213.5,mine
0-csves/3.csv,2,TCP,,,497.44,497.44,497.44,994.88,497.44,497.44,30,68,0,141,4245,2,2,51085,14444,,51085,14444,,15.0,15.0,15.0,1211.25,2122.5,3033.75,mine
0-csves/4.csv,8,TCP,,,0.06949999999999999,0.07949999999999999,73.29725,586.342,293.003,0.031,61,132,0,79,4855,5,5,14444,51085,51084,14444,51083,51085,4.0,4.5,8.25,92.0,187.5,551.5,mine
1-csves/0.csv,2,TCP,,,526.387,526.387,526.387,1052.774,526.387,526.387,32,60,0,125,4008,2,2,53473,14444,,53473,14444,,16.0,16.0,16.0,1331.0,2004.0,2677.0,mine
1-csves/2.csv,2,TCP,,,275.21225,275.2125,275.21275,550.425,275.213,275.212,22,75,0,118,2598,2,2,53473,14444,,53473,14444,,11.0,11.0,11.0,928.5,1299.0,1669.5,mine
1-csves/4.csv,2,TCP,,,517.7085,517.7090000000001,517.7095,1035.4180000000001,517.71,517.708,30,57,0,124,3726,2,2,53473,14444,,53473,14444,,15.0,15.0,15.0,1250.5,1863.0,2475.5,mine
2-csves/0.csv,2,TCP,,,240.486,240.486,240.486,480.972,240.486,240.486,14,57,0,123,1728,2,2,51085,14444,,51085,14444,,7.0,7.0,7.0,587.0,864.0,1141.0,mine
2-csves/2.csv,2,TCP,,,253.48525,253.5035,253.52175,507.007,253.54,253.467,18,64,0,113,2041,2,2,51085,14444,,51085,14444,,9.0,9.0,9.0,770.25,1020.5,1270.75,mine
2-csves/3.csv,2,TCP,,,581.72925,581.7475,581.76575,1163.495,581.784,581.711,30,54,0,133,3992,2,2,51085,14444,,51085,14444,,15.0,15.0,15.0,1233.0,1996.0,2759.0,mine
2-csves/4.csv,2,TCP,,,283.02275,283.0235,283.02425,566.047,283.025,283.022,25,81,0,116,2900,2,2,51085,14444,,51085,14444,,12.25,12.5,12.75,1100.0,1450.0,1800.0,mine
3-csves/1.csv,2,TCP,,,249.40975,249.4105,249.41125,498.821,249.412,249.409,16,64,0,125,2011,2,2,51085,14444,,51085,14444,,8.0,8.0,8.0,667.75,1005.5,1343.25,mine
3-csves/3.csv,2,TCP,,,546.128,546.128,546.128,1092.256,546.128,546.128,32,58,0,125,4022,2,2,51085,14444,,51085,14444,,16.0,16.0,16.0,1335.5,2011.0,2686.5,mine
3-csves/4.csv,2,TCP,,,559.61625,559.6345,559.65275,1119.269,559.671,559.598,44,70,0,112,4961,2,2,51085,14444,,51085,14444,,22.0,22.0,22.0,1885.25,2480.5,3075.75,mine
